"filename", "language", "JSON", "JSON with Comments", "YAML", "TypeScript", "Groovy", "Batch", "PostCSS", "Properties", "XML", "JavaScript", "TypeScript JSX", "Markdown", "Java", "HTML", "comment", "blank", "total"
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\CollectionDetailModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 9, 40, 307
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\CollectionDetailModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 18, 33, 395
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\Dashboard.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 13, 57, 424
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\Dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 13, 13, 129
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\DashboardDriverCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 5, 40
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\DashboardDriverList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 3, 33
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\DashboardRouteDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 5, 10, 104
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\DashboardWaypointCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 1, 9, 69
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\TankReadingsSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 2, 6, 97
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\hooks\useActiveRoutesToday.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 82
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\hooks\useLiveCollectionsMulti.ts", "TypeScript", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 173
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Dashboard\hooks\useLiveTrackingMulti.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 129
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Login.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 22, 32, 278
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 6, 14, 137
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\assets\AssetFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 5, 24, 250
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\assets\AssetsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 8, 27, 231
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\assets\AssetsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 6, 11, 144
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\AccountStatementPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 4, 18, 131
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\AccountStatementPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 8, 17, 185
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\AccountStatementTable.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 0, 0, 19, 53, 339
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\AccountStatementTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 275, 0, 0, 0, 13, 17, 305
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\CompanyAccountFormModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 2, 8, 56
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\CompanyAccountFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 6, 20, 186
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\CompanyAccountsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 8, 24, 198
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\CompanyAccountsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 7, 13, 140
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\ExchangeRateOverrideModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 8, 36, 285
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\ExchangeRateOverrideModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 8, 16, 187
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\ExchangeRatePanel.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 5, 22, 167
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\ExchangeRatePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 3, 14, 130
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\company-accounts\InitialBalanceModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 4, 13, 129
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\expirations\ExpirationsPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 9, 30, 208
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\expirations\ExpirationsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 0, 9, 35, 305
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\FarmDetailsPage.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 470, 0, 0, 0, 0, 0, 0, 0, 20, 77, 567
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\FarmDetailsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 7, 18, 179
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\FarmFormModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 4, 28
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\FarmFormModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 0, 0, 0, 6, 21, 229
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\FarmTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 5, 10, 141
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\FarmsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 8, 28, 236
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\ImportConversionModal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 8, 23, 186
"c:\Users\miste\OneDrive\Escritorio\R\code\apps-web\apk-transdovic-capacitor\apps\web\src\pages\farms\ImportConversionModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 13, 37, 322
